0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,1,0,0,2,0,0,0,10,0,0,0,0,1
0,126,0,0,0,0,0,0,0,2,5,0,0,0,27
0,5,824,0,67,113,13,0,0,547,84,119,1,0,44
0,1,0,952,0,0,1,0,0,0,0,0,0,0,0
0,17,66,1,635,23,49,0,0,223,82,49,1,1,157
0,7,33,0,7,1256,8,0,0,154,55,150,2,0,46
0,10,8,9,20,38,754,0,0,3,30,1,0,1,35
0,15,6,112,8,15,16,0,0,55,40,27,0,1,26
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,3,11,0,8,19,8,0,0,4010,98,70,13,1,14
0,6,6,0,0,2,1,0,0,112,480,1,16,0,72
0,3,24,1,29,65,7,0,0,1146,200,2473,22,2,13
0,0,2,0,0,1,0,0,0,8,7,4,5,0,0
0,6,3,0,11,3,0,0,0,159,6,12,0,39,2
0,12,5,0,1,5,3,0,0,4,52,5,3,0,618
