0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
0,673,10,0,2,2,0,0,0,0,42,22,2,0,2,67
0,5,521,2,10,32,0,3,0,0,103,9,24,0,0,14
0,0,0,780,0,0,0,0,0,0,0,1,0,0,0,0
0,1,74,0,999,46,0,22,0,0,168,40,72,1,2,15
0,3,12,0,13,985,0,8,0,0,54,17,53,0,0,9
0,0,3,2,0,81,1,15,0,0,2,2,0,0,0,1
0,1,14,3,20,29,0,549,0,0,7,19,3,0,0,9
0,11,2,64,5,7,0,68,0,0,23,50,17,3,1,87
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,4,11,0,6,9,0,9,0,0,3419,282,92,7,0,11
0,23,10,0,2,14,0,4,0,0,71,1300,26,7,0,58
0,0,4,0,10,10,0,1,0,0,144,33,685,0,0,0
0,1,0,0,0,0,0,0,0,0,17,15,1,107,0,0
0,5,4,0,2,3,0,0,0,0,32,2,5,0,78,4
0,12,3,0,2,5,0,1,0,0,3,61,0,0,0,410
