_runtime,_step,_timestamp,train_acc,train_loss,val_acc,val_loss,t,lr,opt,dropout,momentum,patience,batch_size,hidden_dim,num_epochs,num_layers,weight_Clip,name,_wandb,acc_cis_test,acc_trans_test,loss_cis_test,loss_trans_test
517,9,1737440718,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.04230456258185481,sgd,0.378456143484754,0.8203026447191791,10,78,1943,149,2,0.47557173839152456,brisk-sweep-59,,,,,
660,12,1737440197,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.0030691880110278237,sgd,0.34120555494997873,0.9019060764144268,10,71,1609,75,2,0.6454410917795597,upbeat-sweep-58,{'runtime': 658},0.03065134099616858,0.08182349503214494,NaN,NaN
2322,50,1737439532,66.68239735724399,1.2517760602236738,64.49145849785943,1.342425722064394,0.1,0.08528641423146811,sgd,0.35196895428994013,0.8514801019163899,10,183,1087,41,5,0.6449809259182393,polar-sweep-57,{'runtime': 2320},22.268199233716476,12.88135593220339,2.335910373263889,2.611598238031915
1734,32,1737437206,66.28148122491568,1.271596205861945,64.2129764329357,1.3404127706692914,0.1,0.07905275091865252,sgd,0.20868253572489356,0.8174569552020686,10,95,1945,181,5,0.6489487720883883,sparkling-sweep-56,{'runtime': 1732},18.015325670498083,9.544126241963763,2.716683650362319,2.9979713397790055
5678,108,1737435468,68.24709595576934,3.353321742778682,66.68190697867742,3.364501953125,1.0,0.0903113530812848,sgd,0.17147639680471233,0.9379966786159056,10,94,635,145,6,0.6045427316677532,cerulean-sweep-55,{'runtime': 5676},29.7088122605364,20.508474576271183,2.6566293839928057,2.7078957479508197
149,2,1737429785,46.96953297167177,3.359696061643836,49.01699987530654,3.3161324474299065,1.0,0.09627761186051025,sgd,0.4573268821292177,0.8203917449959273,10,226,1386,1,4,0.4092878580863407,pretty-sweep-54,{'runtime': 147},9.969348659003831,7.293980128579777,2.790241109913793,2.835963199013158
679,12,1737429631,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.05713685232920368,sgd,0.2003596752491812,0.8458924145561548,10,55,1347,18,4,0.6584549271215905,helpful-sweep-53,{'runtime': 676},0.03065134099616858,0.08182349503214494,NaN,NaN
1303,28,1737428947,68.46314039424864,1.0940260063692269,66.0792219127977,1.1887629582331731,0.1,0.0050365073029782215,sgd,0.3363205833695573,0.9611453712195251,10,232,1430,30,7,0.5478602113640305,swift-sweep-52,{'runtime': 1301},28.114942528735632,20.695499707773234,2.283614309210526,2.581133868243243
970,18,1737427640,36.94359897995852,2.503755260286783,26.83403300220292,2.6237549800796813,0.1,0.08449214372061409,sgd,0.3624020095100126,0.9812964708133538,10,96,1741,79,4,0.6294094291682512,worthy-sweep-51,{'runtime': 968},10.344827586206897,10.175336060783168,3.0495461856617645,3.34166593924581
2006,46,1737426665,67.47557052616995,1.1396813025841346,65.75086246311152,1.2164979272959184,0.1,0.03261813431046449,sgd,0.3376659455803305,0.91736597163187,10,247,1443,69,3,0.5926731413736528,jumping-sweep-50,{'runtime': 2005},23.54022988505747,19.415546464056103,2.61829304245283,2.8890904017857144
578,12,1737424654,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.02259429836482162,sgd,0.4886236559600753,0.989812517218726,10,209,1152,153,2,0.5369432670862696,daily-sweep-49,{'runtime': 576},0.03065134099616858,0.08182349503214494,NaN,NaN
632,12,1737424071,61.92638902719389,1.6325766485826394,57.753855106197264,1.7365737634202454,0.1,0.05920297361430315,sgd,0.1464414412301717,0.8991490849554845,10,148,529,147,6,0.4886252762676496,sage-sweep-48,{'runtime': 630},40.71264367816092,31.93454120397428,2.116924157303371,2.2246262122844827
402,8,1737423434,65.50692511181057,1.249174833099543,64.14231680452221,1.266397679105718,0.1,0.0027545764531954676,sgd,0.472847155996836,0.9827815113697602,10,64,934,4,1,0.5395716911200611,stellar-sweep-47,{'runtime': 399},30.74329501915709,21.326709526592637,2.646283318014706,3.1494286380597014
2690,58,1737423025,65.93381853133077,3.1623617489794107,64.44573756182717,3.1801193133503403,1.0,0.0736753024819131,sgd,0.16747127320880978,0.9747941778577852,10,82,1189,61,2,0.4114727146910694,autumn-sweep-46,{'runtime': 2689},28.29885057471264,16.563413208649912,2.6040283203125,2.659782446172249
579,12,1737420329,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.020985476268889493,sgd,0.4574445410132749,0.9595577810839188,10,178,1686,26,3,0.6086597629980545,divine-sweep-45,{'runtime': 577},0.03065134099616858,0.08182349503214494,NaN,NaN
2200,50,1737419744,65.77492412467366,3.4954601377952756,63.16970780165426,3.507548167293233,1.0,0.053088218352417685,sgd,0.32429657737267537,0.8084103065349514,10,182,989,71,4,0.6834529756127301,likely-sweep-44,{'runtime': 2199},22.9272030651341,13.962594973699591,2.698486328125,2.723231907894737
4265,76,1737417535,67.06426347896489,3.150520057196704,65.28949665405878,3.1662581270973154,1.0,0.010313165485814358,sgd,0.4077719632612848,0.8531366411748592,10,81,1641,92,7,0.4337356211802244,hardy-sweep-43,{'runtime': 4264},17.885057471264368,10.286382232612509,2.6512345679012346,2.7399948408018866
651,12,1737413265,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.002538962544870993,sgd,0.26562189052186463,0.8674803950506442,10,136,2018,63,7,0.7790987060996682,vibrant-sweep-42,{'runtime': 649},0.03065134099616858,0.08182349503214494,NaN,NaN
1619,38,1737412609,64.13575730286486,2.0883921595982144,61.88536514402095,2.123314426369863,0.1,0.01762130366851943,sgd,0.12966936210644345,0.873446774276875,10,165,1549,89,1,0.7950940660253814,northern-sweep-41,{'runtime': 1617},16.6360153256705,11.396843950905904,2.5041259765625,2.6538461538461537
2956,56,1737410982,66.08059020396499,1.2617720206194645,65.38925142358369,1.2976347580839769,0.1,0.05468589095550196,sgd,0.4741914942905811,0.9118963339664664,10,93,1707,28,6,0.6397467441919968,restful-sweep-40,{'runtime': 2950},21.26436781609195,11.89947399181765,2.702390846631206,3.092646059782609
