_runtime,_step,_timestamp,train_acc,train_loss,val_acc,val_loss,t,lr,opt,dropout,momentum,patience,batch_size,hidden_dim,num_epochs,num_layers,weight_Clip,name,_wandb,acc_cis_test,acc_trans_test,loss_cis_test,loss_trans_test
1551,35,1737440711,62.43078135350325,3.219297029092702,60.54698865289496,3.232864091981132,1.0,0.0006269179021414662,sgd,0.22459278543720584,0.8179879045106645,10,228,1554,188,3,0.48167696723384457,astral-sweep-39,,,,,
1840,42,1737439154,62.51780526559612,3.5817230353375527,60.380730703686766,3.589875252016129,1.0,0.04315774959232874,sgd,0.2453571744268532,0.8487449874082268,10,195,820,68,1,0.7412391091116227,fresh-sweep-38,{'runtime': 1838},28.666666666666668,23.997662185856225,2.7020464085820897,2.718528053977273
3203,68,1737437306,64.92806456221777,3.563556768840153,62.23866328608837,3.569975944562147,1.0,0.0532796958065119,sgd,0.25516269732048413,0.8088384540042961,10,34,1052,37,1,0.7382539784968587,clean-sweep-37,{'runtime': 3201},35.75478927203065,27.22969023962595,2.6578470865885415,2.6860157800099205
737,14,1737434097,46.39543492473081,2.171493210565476,35.9532815162725,2.285611087328767,0.1,0.09872733701553606,sgd,0.22935203790430336,0.9899664548142102,10,110,1192,72,6,0.4455322317424287,scarlet-sweep-36,{'runtime': 735},14.045977011494251,12.086499123319696,2.6469931722689077,2.9813201121794872
2172,48,1737433355,65.55238536439639,3.2993817318594103,63.888773431979715,3.309251868206522,1.0,0.01743014788551115,sgd,0.2689040605697597,0.9192688709042168,10,131,1723,69,2,0.5711362328932454,quiet-sweep-35,{'runtime': 2171},35.54022988505747,24.8801870251315,2.64484375,2.674588501908397
3210,58,1737431176,65.91390261115032,3.331637125048695,64.03840558626709,3.3448285914179103,1.0,0.08857434413056234,sgd,0.30671930946739134,0.9049249008661024,10,90,1619,157,7,0.5888654316973633,royal-sweep-34,{'runtime': 3207},37.90038314176245,26.07831677381648,2.604822198275862,2.6723760634816753
2688,52,1737427959,64.473029081573,3.3351799737476133,62.51714535101209,3.3434074361910993,1.0,0.024881809779183885,sgd,0.4394859485639451,0.836891003416743,10,21,684,26,1,0.57952347440755,noble-sweep-33,{'runtime': 2686},35.7088122605364,25.295149035651665,2.5840032154340835,2.6704155483128833
1455,32,1737425262,66.86380541280073,1.1171146817543411,65.80073984787398,1.15017760033701,0.1,0.009055108315228544,sgd,0.4013917494491507,0.8079199266416285,10,118,924,58,2,0.431819290602634,morning-sweep-32,{'runtime': 1450},28.750957854406128,19.01811805961426,2.5702421171171173,3.177545797413793
2613,62,1737423803,67.92757532330899,1.093283550299891,65.54304002660128,1.1546834309895833,0.1,0.03407857780478698,sgd,0.3810834350161041,0.8062271408072051,10,252,1082,97,6,0.45392041804853056,likely-sweep-31,{'runtime': 2611},40.04597701149425,25.517241379310345,2.139667217548077,2.8227826286764706
3492,70,1737421186,68.82509059578908,1.0754688532979049,67.62542084043393,1.1210575103759766,0.1,0.00880247993689045,sgd,0.3329305016574281,0.8065399544679757,10,94,608,165,5,0.5809991567307793,dainty-sweep-30,{'runtime': 3489},40.04597701149425,26.85563997662186,2.167757981115108,2.6697777920081966
3246,76,1737417687,67.48206484796793,3.2052125726744185,65.78827050168337,3.216465541294643,1.0,0.09803710803747231,sgd,0.4479387120861107,0.8232412022471367,10,215,1627,68,4,0.5215292850524578,misty-sweep-29,{'runtime': 3244},40.06130268199234,25.45295149035652,2.5295210040983607,2.6323974609375
1597,36,1737414433,66.0723640630209,3.202615547573985,64.52471008770107,3.2154219777960527,1.0,0.04554231686314667,sgd,0.23179719141785263,0.8854387323293069,10,159,1346,48,4,0.514855899366377,breezy-sweep-28,{'runtime': 1595},40.06130268199234,27.15371127995324,2.536379894578314,2.6178747106481484
2618,54,1737412828,66.3966471981331,3.242423052763819,64.52886653643127,3.256329378342246,1.0,0.028769576857268355,sgd,0.3738798479893811,0.8781345906312232,10,129,1206,100,6,0.54541144704066,young-sweep-27,{'runtime': 2616},41.25670498084291,27.36995908825248,2.5438495710784315,2.612546992481203
562,12,1737410202,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.0665462881126524,sgd,0.11208965446547664,0.975891276607274,10,228,675,115,7,0.7859282504856251,cool-sweep-26,{'runtime': 560},0.03065134099616858,0.08182349503214494,NaN,NaN
1235,12,1737409635,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.004619478579054959,sgd,0.4935739101486388,0.8297440598021668,10,11,1823,26,4,0.5066536508580577,wise-sweep-25,{'runtime': 1234},0.03065134099616858,0.08182349503214494,NaN,NaN
2232,52,1737408395,66.02430608171589,3.3980252750194704,64.40001662579492,3.407430620335821,1.0,0.05302801533204692,sgd,0.2629830831818319,0.960300115221308,10,180,627,170,4,0.6296278504296209,fearless-sweep-24,{'runtime': 2230},41.16475095785441,28.182349503214493,2.608411815068493,2.6699422200520835
4062,92,1737406158,67.34914772850271,3.2344169679752066,65.7383931169209,3.2460472470238093,1.0,0.09577896605983226,sgd,0.28087714803279196,0.965338609774296,10,191,986,99,5,0.5454309862744467,serene-sweep-23,{'runtime': 4061},33.13409961685824,21.45528930450029,2.594825634057971,2.6744140625
1377,32,1737402091,64.47086430764035,2.076289616578014,62.37582609418513,2.1131908275462963,0.1,0.09245310744709476,sgd,0.11661709456149612,0.8817579695478978,10,149,914,33,1,0.7980544146661188,glowing-sweep-22,{'runtime': 1375},38.98850574712643,27.837521917007596,2.2301802201704546,2.4052309782608696
618,12,1737400706,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.02590660980713605,sgd,0.4540439104211009,0.9565434471482676,10,167,1734,173,7,0.734425981336825,ethereal-sweep-21,{'runtime': 616},0.03065134099616858,0.08182349503214494,NaN,NaN
589,12,1737400077,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.034770291360728914,sgd,0.2787296212639653,0.8340931027024635,10,216,1770,153,7,0.46693804452026766,stilted-sweep-20,{'runtime': 587},0.03065134099616858,0.08182349503214494,NaN,NaN
618,12,1737399478,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.03469959443864908,sgd,0.1980014324904336,0.977877636099042,10,175,1524,187,7,0.7285906432325613,jolly-sweep-19,{'runtime': 616},0.03065134099616858,0.08182349503214494,NaN,NaN
1051,20,1737398856,59.11001814080555,1.849601070897109,54.87343613616527,1.9370541779891304,0.1,0.04284331914781735,sgd,0.19084865848965027,0.9015050928644908,10,131,1035,142,7,0.5334201102673595,crimson-sweep-18,{'runtime': 1049},33.55555555555556,24.424313267095265,2.110546875,2.45670324427481
1321,22,1737397799,64.28209602071256,3.177532115319676,62.072405336880166,3.2000160299676024,1.0,0.0007137431840989472,sgd,0.30031937480447507,0.9442576547130228,10,26,2013,11,3,0.40638891471713495,dutiful-sweep-17,{'runtime': 1318},32.46743295019157,23.758036236119228,2.614121638446215,2.6884098776555385
633,12,1737396473,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.0707660761843054,sgd,0.23035263881699147,0.9419857616689332,10,80,1478,186,3,0.4724918184391505,divine-sweep-16,{'runtime': 631},0.03065134099616858,0.08182349503214494,NaN,NaN
1462,36,1737395834,64.05652657692957,1.8405402131782944,61.04576250051955,1.9048994348404256,0.1,0.03977973645584453,sgd,0.1356930180940019,0.8027979700506247,10,256,1261,121,1,0.760964230119513,soft-sweep-15,{'runtime': 1460},33.40229885057472,27.62127410870836,2.1826171875,2.371822527985074
2930,64,1737394367,68.30554485195111,1.135890532742888,66.59877800407332,1.1833133012820514,0.1,0.08591457605016634,sgd,0.30058638221918144,0.8193486367700903,10,124,1991,90,4,0.6178991999198731,sage-sweep-14,{'runtime': 2928},40.29885057471264,27.17124488603156,2.091594192216981,2.4773975317028984
6650,78,1737391432,68.05183334704357,3.326238718536101,66.55305706804107,3.3376161392125705,1.0,0.034785550153019755,sgd,0.29732321808009454,0.9359460314422504,10,17,1950,155,5,0.5920829433537136,proud-sweep-13,{'runtime': 6648},40.21455938697318,27.293980128579776,2.593561808268229,2.6447310234607744
606,12,1737384773,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.0828358496826787,sgd,0.42358080253366703,0.8622457887542546,10,131,513,70,4,0.6818299793301508,rich-sweep-12,{'runtime': 605},0.03065134099616858,0.08182349503214494,NaN,NaN
2328,20,1737384159,34.935554680024765,2.784675084383037,26.41007523172202,2.8830927930758685,0.1,0.0814997110431705,sgd,0.1939060575078243,0.8436817728414665,10,11,869,139,6,0.7538415729710213,swift-sweep-11,{'runtime': 2326},5.448275862068966,3.483343074225599,2.726889940501264,2.9595228651188945
2422,56,1737381822,66.55727342393634,2.0175866613854896,65.13155160231099,2.0528238932291667,0.1,0.02515552715032693,sgd,0.14205887929391575,0.8179503550804014,10,202,862,118,2,0.7996492190638864,deep-sweep-10,{'runtime': 2420},41.28735632183908,32.79368790181181,2.1987079326923076,2.3772748161764707
577,12,1737379392,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.01188968090318935,sgd,0.24000251310451845,0.8790130290988727,10,212,1940,188,5,0.5568143428973178,confused-sweep-9,{'runtime': 575},0.03065134099616858,0.08182349503214494,NaN,NaN
3276,76,1737378807,68.43240060440489,1.2972268371045694,66.3327652853402,1.3650456276260503,0.1,0.0781123191876365,sgd,0.15472295915979944,0.8960766000460161,10,203,597,38,4,0.6846192552988234,mild-sweep-8,{'runtime': 3274},35.310344827586206,23.84570426651081,2.3032752403846155,2.598253676470588
1835,40,1737375522,65.60087630048794,3.4401375679347828,63.439876969117584,3.4500325520833335,1.0,0.07629479083118192,sgd,0.4662267396767428,0.9257451287950031,10,201,1885,142,6,0.6457605359608223,smooth-sweep-7,{'runtime': 1833},34.52873563218391,23.09175920514319,2.6395733173076925,2.6790970203488373
1848,42,1737373683,63.99591290681514,1.9434768943192544,61.22864624464858,1.985400169683258,0.1,0.05321867266157905,sgd,0.474685968365578,0.9336788479982236,10,109,745,122,1,0.7733636321417676,blooming-sweep-6,{'runtime': 1846},18.199233716475096,14.307422559906488,2.6187337239583335,2.840689689490446
