_runtime,_step,_timestamp,_wandb,acc_cis_test,acc_trans_test,loss_cis_test,loss_trans_test,train_acc,train_loss,val_acc,val_loss,t,lr,opt,dropout,momentum,patience,batch_size,hidden_dim,num_epochs,num_layers,weight_Clip,name
246,12,1737426270,{'runtime': 244},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.0070881313522439095,sgd,0.1904199936439126,0.8916544089128036,10,132,572,102,1,0.524853069828773,sweepy-sweep-100
1053,56,1737425967,{'runtime': 1051},22.835249042145595,13.646990064289888,2.4587732263513513,2.9993355347938144,68.32805850085076,1.1126744721446455,66.54474417058066,1.1833926930147058,0.1,0.015292662188007311,sgd,0.14460034285603007,0.8382331637660445,10,178,1380,189,4,0.6000841138552377,flowing-sweep-99
1103,48,1737424909,{'runtime': 1102},26.160919540229887,16.2010520163647,2.7000966698232323,2.7169396033653848,66.1559243368215,3.50216015625,64.1298474583316,3.510552226027398,1.0,0.0315374906579444,sgd,0.20565018770618712,0.8942575157642296,10,66,581,127,7,0.6932222809231714,tough-sweep-98
551,28,1737423802,{'runtime': 549},15.89272030651341,8.53302162478083,2.668731689453125,2.6821754092261907,64.63755190045504,3.1708109194764864,62.13475206783324,3.197017346398305,1.0,0.024959569147188332,sgd,0.11120961914750804,0.8623090352992779,10,205,649,181,7,0.4106257805463467,silver-sweep-97
601,30,1737423247,{'runtime': 600},32.81226053639847,24.29573348918761,2.3055160984848486,2.3519237716763004,65.80869459802314,1.92771303623072,63.435720520387385,1.9791960169057377,0.1,0.009050227014238963,sgd,0.2923973145833332,0.811064541880687,10,99,1490,159,3,0.7820802219519107,firm-sweep-96
310,14,1737422642,{'runtime': 308},39.272030651341,29.73115137346581,2.171238588483146,2.362388392857143,64.17515618843925,1.309653902438216,62.05577954195935,1.345706108388493,0.1,0.004668782491906598,sgd,0.3724250942246654,0.9541434385546224,10,49,947,89,1,0.6004635718803804,decent-sweep-95
256,12,1737422328,{'runtime': 254},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.08581833727636146,sgd,0.18949368926669932,0.846263709334184,10,246,552,65,7,0.6993836818817358,proud-sweep-94
442,22,1737422064,{'runtime': 440},17.77777777777778,14.652250146113383,2.6127387152777777,2.925082236842105,46.372488321044635,2.1885772945374016,37.7322415728002,2.2942023026315788,0.1,0.04901654283460244,sgd,0.470880867848782,0.8825624622726261,10,182,1124,194,6,0.5623853893678471,fresh-sweep-93
740,38,1737421615,{'runtime': 738},29.226053639846743,19.859731151373467,2.3277673855633805,2.5179771505376345,66.19532322239588,1.7321854154221423,63.622760713246606,1.7900166984732824,0.1,0.0170910954994595,sgd,0.35177212661452906,0.9575526218629536,10,92,1943,141,2,0.7522368917530968,different-sweep-92
1118,46,1737420868,{'runtime': 1116},35.25670498084291,30.064289888953827,2.1383640908787394,2.282778671364379,69.88929346108385,1.0437933238636363,67.75011430234008,1.084822401889535,0.1,0.03771441660188806,sgd,0.489013498835128,0.8468959214408588,10,56,858,115,7,0.4735571371771834,solar-sweep-91
