_runtime,_step,_timestamp,train_acc,train_loss,val_acc,val_loss,t,lr,opt,dropout,momentum,patience,batch_size,hidden_dim,num_epochs,num_layers,weight_Clip,name,_wandb,acc_cis_test,acc_trans_test,loss_cis_test,loss_trans_test
1456,29,1737444151,65.61559676323002,3.4928149380449747,63.510536597531065,3.499612816629956,1.0,0.01257519650347595,sgd,0.186651542035903,0.9255306551192772,10,106,1989,111,4,0.6937226535175807,desert-sweep-44,,,,,
998,18,1737442690,64.09722432686354,3.1749242845283656,63.56457043102374,3.184188546166306,1.0,0.0959034762920336,sgd,0.3908313433695785,0.8458845652659482,10,52,1931,9,5,0.4619041678815842,autumn-sweep-43,{'runtime': 996},37.51724137931035,24.71654003506721,2.559200697211155,2.6488873106060606
616,12,1737441688,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.03488569144976671,sgd,0.16432799296284983,0.9443357255404968,10,36,1933,75,1,0.4266037944885436,worthy-sweep-42,{'runtime': 614},0.03065134099616858,0.08182349503214494,NaN,NaN
590,12,1737441068,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.08453291879957943,sgd,0.3047960064128401,0.8838802641295012,10,110,1060,45,2,0.7335721088144018,dutiful-sweep-41,{'runtime': 587},0.03065134099616858,0.08182349503214494,NaN,NaN
1310,30,1737440470,64.99214187062445,3.1724842884006335,62.974354711334634,3.187692353219697,1.0,0.029769480760007405,sgd,0.2847140515134237,0.9543290208743452,10,183,990,157,7,0.49142512428173574,cosmic-sweep-40,{'runtime': 1308},43.946360153256705,30.151957919345413,2.5433485243055554,2.6485413896276597
562,12,1737439152,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.09485004177979577,sgd,0.3305148992589607,0.823439728532121,10,160,1188,111,7,0.7093063317669174,playful-sweep-39,{'runtime': 560},0.03065134099616858,0.08182349503214494,NaN,NaN
3153,82,1737438584,66.03296517744653,3.56067095084885,64.59952616484476,3.5638631184895835,1.0,0.02591055990469282,sgd,0.4350455780736169,0.9376690210638944,10,253,1457,152,2,0.7289306948700426,electric-sweep-38,{'runtime': 3151},41.463601532567054,29.462302746931616,2.670710637019231,2.711569393382353
1923,42,1737435427,66.60619731481442,3.187033696183953,64.81566149881542,3.201236062206573,1.0,0.071790652385771,sgd,0.25418501113139136,0.905024710649186,10,113,1441,84,4,0.5117063628393123,distinctive-sweep-37,{'runtime': 1921},42.183908045977006,30.654587960257157,2.5239426185344827,2.579178659539474
1014,22,1737433498,65.28222157760065,1.516037648921121,63.42740762292697,1.585352073789267,0.1,0.08528036273300263,sgd,0.10865475191629358,0.9565338037631752,10,63,877,11,3,0.7169241114346294,major-sweep-36,{'runtime': 1013},44.81226053639847,29.39216832261835,2.163494403545673,2.6345358455882355
938,12,1737432475,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.027396894971912757,sgd,0.16285459621523737,0.9490286778460256,10,22,1733,50,5,0.7708259851350902,ethereal-sweep-35,{'runtime': 936},0.03065134099616858,0.08182349503214494,NaN,NaN
