_runtime,_step,_timestamp,_wandb,acc_cis_test,acc_trans_test,loss_cis_test,loss_trans_test,train_acc,train_loss,val_acc,val_loss,t,lr,opt,dropout,momentum,patience,batch_size,hidden_dim,num_epochs,num_layers,weight_Clip,name
711,12,1737388424,{'runtime': 709},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.04678053504081641,sgd,0.2627825721321842,0.92558521824895,10,119,1018,88,6,0.7769803243129353,absurd-sweep-22
712,12,1737387703,{'runtime': 710},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.09098552148108972,sgd,0.13206065206446574,0.8319651087219474,10,85,521,177,4,0.7679824001655742,playful-sweep-21
3741,64,1737386985,{'runtime': 3740},15.632183908045976,6.995908825248392,2.6906297063253013,2.7602246543778803,66.98892934610838,3.1509917920656636,65.70098507834906,3.1648053278688524,1.0,0.015890238244738786,sgd,0.3384909818034988,0.9035030194217926,10,79,2022,160,5,0.4418250731285699,lyric-sweep-20
686,12,1737383238,{'runtime': 684},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.023259946974106563,sgd,0.12092429434670296,0.8002249344068642,10,126,783,62,6,0.5082154288116842,dainty-sweep-19
591,12,1737382547,{'runtime': 585},11.302681992337163,10.677966101694915,3.0607177734375,3.336726262019231,38.61610332033026,2.3699469866071428,30.14256619144603,2.4846024186643834,0.1,0.08140930194460018,sgd,0.2123748760278148,0.972047771679304,10,165,529,170,4,0.4248576992454828,giddy-sweep-18
557,12,1737381952,{'runtime': 554},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.093258153230452,sgd,0.4274019627706571,0.882145967127514,10,208,747,154,2,0.6367889377140199,warm-sweep-17
574,12,1737381387,{'runtime': 572},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.013789549328789376,sgd,0.42009414350951935,0.9531934495206188,10,158,691,75,3,0.6296107027352358,light-sweep-16
753,12,1737380799,{'runtime': 751},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.06719652399616297,sgd,0.27038006115045166,0.9357427799741856,10,70,1747,38,7,0.5804296378822904,smooth-sweep-15
1731,38,1737380041,{'runtime': 1729},12.291187739463602,12.349503214494447,2.7148592509920637,2.745123106060606,62.07965502162609,3.3697122284443943,59.0548235587514,3.3915426320043105,1.0,0.006361073310393085,sgd,0.2638355428108906,0.8758038058874833,10,104,947,69,1,0.584642535255712,light-sweep-14
3540,80,1737378306,{'runtime': 3537},22.911877394636015,13.021624780829924,2.51640625,3.0128580729166665,67.42361595178615,1.2167478953916753,66.04181387422587,1.2674524288366336,0.1,0.011870872863823368,sgd,0.4320189147394739,0.9715431226481344,10,239,1487,90,6,0.6431223727031156,playful-sweep-13
